Datum,BundeslandID,Name,BestaetigteFaelleBundeslaender,Todesfaelle,Genesen,Hospitalisierung,Intensivstation,Testungen,TestungenPCR,TestungenAntigen,TestungenPCRTaeglich,HospitalisierungTaeglich,Neuinfektionen,Positivrate
2021-02-28,1,Burgenland,12657,239,11701,43.0,10,638575,155435,483140,498.0,3.0,85.0,17068.273092369476
2021-02-28,2,Kärnten,29225,683,27316,96.0,15,675557,217933,457624,1257.0,-5.0,185.0,14717.581543357199
2021-02-28,3,Niederösterreich,74538,1350,67900,349.0,82,3400756,1141984,2258772,5154.0,32.0,355.0,6887.854093907645
2021-02-28,4,Oberösterreich,86409,1515,82567,120.0,20,2162517,546777,1615740,1617.0,10.0,255.0,15769.944341372913
2021-02-28,5,Salzburg,37327,493,35318,71.0,15,823353,274598,548755,1325.0,2.0,237.0,17886.79245283019
2021-02-28,6,Steiermark,55956,1747,51265,200.0,35,1758065,503274,1254791,2251.0,7.0,305.0,13549.533540648601
2021-02-28,7,Tirol,48060,579,46304,81.0,21,1521757,579890,941867,3875.0,6.0,163.0,4206.451612903225
2021-02-28,8,Vorarlberg,23859,274,23199,30.0,7,825612,298572,527040,587.0,-3.0,41.0,6984.667802385008
2021-02-28,9,Wien,92818,1694,86446,363.0,85,3197153,1677203,1519950,44054.0,22.0,294.0,667.3627820402234
2021-02-28,10,Österreich,460849,8574,432016,1353.0,290,15003345,5395666,9607679,60618.0,74.0,1920.0,3167.3760269226964
2021-03-01,1,Burgenland,12742,240,11748,46.0,10,645941,155933,490008,498.0,3.0,85.0,17068.273092369476
2021-03-01,2,Kärnten,29410,686,27446,91.0,16,704089,219190,484899,1257.0,-5.0,185.0,14717.581543357199
2021-03-01,3,Niederösterreich,74893,1357,68352,381.0,78,3471229,1147138,2324091,5154.0,32.0,355.0,6887.854093907645
2021-03-01,4,Oberösterreich,86664,1518,82820,130.0,16,2241062,548394,1692668,1617.0,10.0,255.0,15769.944341372913
2021-03-01,5,Salzburg,37564,496,35417,73.0,15,847370,275923,571447,1325.0,2.0,237.0,17886.79245283019
