id	personId	inventoryItemId	loanDate	statusId	returnDate	acceptedById
1	13	10	2025-12-30	3	2026-01-04	1
2	8	3	2025-09-03	1		
3	6	8	2025-11-09	3	2025-11-10	2
4	9	2	2026-01-28	1		
5	2	7	2025-11-27	2	2025-12-01	2
6	8	6	2026-01-23	1		
7	19	10	2025-09-11	2	2025-09-12	2
8	9	2	2025-11-27	2	2025-12-01	1
9	14	3	2025-09-11	2	2025-09-14	1
10	16	4	2025-12-08	1		
11	8	7	2025-11-30	2	2025-12-05	2
12	12	6	2025-11-09	2	2025-11-14	1
13	10	2	2025-09-29	2	2025-10-06	1
14	20	7	2025-10-17	3	2025-10-24	2
15	1	4	2025-10-18	3	2025-10-21	1
16	16	10	2025-10-16	3	2025-10-18	1
17	11	5	2025-11-24	3	2025-11-27	2
18	6	3	2025-10-27	2	2025-10-28	3
19	10	5	2025-12-07	1		
20	8	6	2026-01-30	3	2026-01-31	1
